elapsed_S,supply_V,current_A,BMF_resistance
7.995241131000511814e+00,4.731428222656250071e+00,9.539013671875000433e-02,4.960081183871743349e+01
8.029453931000716693e+00,4.732861328124999822e+00,9.376806640625000300e-02,5.047412738170248048e+01
8.063535698000123375e+00,4.729560546874999716e+00,9.186425781250000255e-02,5.148422966120612898e+01
8.097454043000652746e+00,4.729951171875000249e+00,9.441113281250000655e-02,5.009950660446641990e+01
8.131444127000577282e+00,4.729294433593749680e+00,9.495751953125000644e-02,4.980431730882949637e+01
8.165610726000522845e+00,4.744353027343749751e+00,9.792773437500000566e-02,4.844749097508924507e+01
8.200423401000080048e+00,4.727644042968750071e+00,9.683496093750000588e-02,4.882166520436874180e+01
8.234646517000328458e+00,4.730256347656250249e+00,9.626660156249999822e-02,4.913704515252036487e+01
8.268498383999940415e+00,4.727878417968749858e+00,9.352246093749999600e-02,5.055340044065283678e+01
8.302271030000156316e+00,4.729396972656250142e+00,9.465869140624999512e-02,4.996262786223118724e+01
8.336206986999968649e+00,4.729421386718749787e+00,9.111962890624999978e-02,5.190343116503137111e+01
8.370147944000564166e+00,4.731730957031249574e+00,9.628369140624999656e-02,4.914363884395174153e+01
8.404152992000490485e+00,4.730126953124999645e+00,9.180175781249999556e-02,5.152545077389500250e+01
8.438022765000823711e+00,4.731218261718749929e+00,9.394238281250000266e-02,5.036297909498217251e+01
8.471872651000012411e+00,4.731762695312499822e+00,9.623583984375000400e-02,4.916840444261787013e+01
8.505678963000718795e+00,4.728852539062500249e+00,9.400244140624999800e-02,5.030563534648888435e+01
8.539628049000384635e+00,4.732858886718750213e+00,9.468847656249999856e-02,4.998347273646105293e+01
8.573529785000573611e+00,4.728740234374999574e+00,9.364794921874999845e-02,5.049486159413110897e+01
8.607140009000431746e+00,4.730507812499999964e+00,9.461962890625000289e-02,4.999499434929121122e+01
8.641070540000328037e+00,4.728566894531249787e+00,9.404150390625000411e-02,5.028170220719948702e+01
8.674904426000466628e+00,4.729067382812499609e+00,9.378466796874999900e-02,5.042473876847623870e+01
8.708944528000756691e+00,4.730668945312499929e+00,9.425244140624999822e-02,5.019147381999595581e+01
8.742884004000188725e+00,4.729865722656249716e+00,9.536083984375000322e-02,4.959966512885370093e+01
8.776961068000673549e+00,4.730058593749999929e+00,9.669531250000000522e-02,4.891714470388623681e+01
8.810885674000019208e+00,4.731618652343749787e+00,9.411181640625000677e-02,5.027656284858954905e+01
8.845013514000129362e+00,4.730822753906250178e+00,9.443994140625000533e-02,5.009345287028276061e+01
8.879254112000126042e+00,4.729543457031249787e+00,9.357080078125000477e-02,5.054507835289328455e+01
8.913254789000347955e+00,4.728520507812500107e+00,9.513183593750000611e-02,4.970492223990144964e+01
8.947247023000272748e+00,4.730073242187500249e+00,9.427636718750000144e-02,5.017241736500274385e+01
8.981218849000470072e+00,4.728649902343749822e+00,9.389892578125000333e-02,5.035893502509034647e+01
9.015072512000187999e+00,4.728652343750000320e+00,9.256542968750000600e-02,5.108443140937048099e+01
9.049190427000212367e+00,4.728513183593750391e+00,9.257763671874999489e-02,5.107619238498094205e+01
9.083098977000190644e+00,4.728881835937500000e+00,9.228808593750000011e-02,5.124043681152978991e+01
9.117026342000826844e+00,4.737934570312500426e+00,9.667333984374999745e-02,4.900973296226520404e+01
9.151473212000382773e+00,4.729140625000000320e+00,9.289111328125000677e-02,5.091058184092808858e+01
9.185433966000346118e+00,4.737888183593749858e+00,9.462792968750000089e-02,5.006860235915747381e+01
9.220518265000464453e+00,4.728691406250000284e+00,9.215087890624999722e-02,5.131466419393297684e+01
9.254468648000511166e+00,4.729287109374999964e+00,9.499658203124999867e-02,4.978376072329904645e+01
9.288289480000457843e+00,4.729997558593749929e+00,9.360791015625000155e-02,5.052989165871190380e+01
9.322354268000708544e+00,4.729462890625000249e+00,9.347509765625000577e-02,5.059596629700632775e+01
9.356414797000070394e+00,4.734882812500000426e+00,9.175195312499999367e-02,5.160525363475744598e+01
9.390671302000555443e+00,4.729423828125000284e+00,9.342285156250000611e-02,5.062384362096900503e+01
9.424704684000062116e+00,4.728959960937499929e+00,9.487304687500000555e-02,4.984513638703036520e+01
9.458577736000734149e+00,4.733288574218749822e+00,9.561523437499999667e-02,4.950349811050965343e+01
9.492529305000061868e+00,4.731225585937499645e+00,9.289501953124999767e-02,5.093088531345762249e+01
9.526551946000836324e+00,4.731796874999999680e+00,9.382763671874999600e-02,5.043073704588387329e+01
9.560589549000724219e+00,4.728913574218750249e+00,9.477636718750000189e-02,4.989549309126129373e+01
9.594445749999977124e+00,4.730207519531250071e+00,9.301806640625000233e-02,5.085256770305667828e+01
9.628376690000550298e+00,4.729926757812499716e+00,9.209082031250000189e-02,5.136154441628401912e+01
9.662474070000826032e+00,4.728056640624999751e+00,9.354394531250000144e-02,5.054369499629393658e+01
9.696414806000575481e+00,4.732167968749999787e+00,9.602880859375000078e-02,4.927862834130789338e+01
9.730336894000174652e+00,4.730041503906250000e+00,9.385205078125000155e-02,5.039891472303585829e+01
9.764190595000400208e+00,4.729953613281249858e+00,9.394726562499999822e-02,5.034690027234361054e+01
